,STATE,YEAR,gdp_per_capita
1010,West Virginia,2008,34679
1011,Wisconsin,2008,44622
1012,Wyoming,2008,69182
1013,New England,2008,57544
1014,Mideast,2008,56068
1015,Great Lakes,2008,45045
1016,Plains,2008,46794
1017,Southeast,2008,42092
1018,Southwest,2008,45914
1019,Rocky Mountain,2008,47019
1020,Far West,2008,53881
1021,United States,2009,46680
1022,Alabama,2009,35376
1023,Alaska,2009,72204
1024,Arizona,2009,38232
1025,Arkansas,2009,33837
1026,California,2009,51733
1027,Colorado,2009,49731
1028,Connecticut,2009,65574
1029,Delaware,2009,64313
1030,District of Columbia,2009,166178
1031,Florida,2009,38695
1032,Georgia,2009,42052
1033,Hawaii,2009,48549
1034,Idaho,2009,34664
1035,Illinois,2009,49859
